"","Player","Team","Year","Service","Super2","Player.Amt.","Team.Amt.","Midpoint","Settled.Amt.","Winner","Prev.Salary","nameFirst","nameLast","playerID","birthCountry","weight","height","bats","throws","debut","prev.year","prev.salary","Salary","Salary.Min"
"502","Eduardo Nunez","Giants",2017,5.09,"No",0,0,0,"4200000","",1.45e+12,"Eduardo","Nunez","nunezed02","D.R.",195,72,"R","R",2010-08-19,2016,"1475000","1475000 ",507500
"503","Eduardo Rodriguez","Red Sox",2018,2.13,"Yes",0,0,0,"2375000","",5.845e+11,"Eduardo","Rodriguez","rodried05","Venezuela",220,74,"L","L",2015-05-28,2017,"584500 ","584500 ",535000
"504","Eduardo Rodriguez","Red Sox",2019,3.13,"No",0,0,0,"4300000","",2.375e+12,"Eduardo","Rodriguez","rodried05","Venezuela",220,74,"L","L",2015-05-28,2018,"2375000 ","2375000 ",545000
"505","Edward Mujica","Marlins",2012,4.115,"No",0,0,0,"1625000","",8e+11,"Edward","Mujica","mujiced01","Venezuela",220,75,"R","R",2006-06-21,2011,"8e+05","800000 ",414000
"506","Edward Mujica","Cardinals",2013,5.12,"No",0,0,0,"3200000","",1.625e+12,"Edward","Mujica","mujiced01","Venezuela",220,75,"R","R",2006-06-21,2012,"1625000","1625000 ",480000
"507","Ehire Adrianza","Twins",2017,2.131,"Yes",0,0,0,"6e+05","",5.125e+11,"Ehire","Adrianza","adriaeh01","Venezuela",170,73,"B","R",2013-09-08,2016,"512500","512500 ",507500
"508","Ehire Adrianza","Twins",2018,3.131,"No",0,0,0,"1e+06","",6e+11,"Ehire","Adrianza","adriaeh01","Venezuela",170,73,"B","R",2013-09-08,2017,"0","0",535000
"509","Ehire Adrianza","Twins",2019,4.131,"No",0,0,0,"1300000","",1e+12,"Ehire","Adrianza","adriaeh01","Venezuela",170,73,"B","R",2013-09-08,2018,"1000000 ","1000000 ",545000
"510","Elvis Andrus","Rangers",2012,3,"No",3600000,2650000,3125000,"Extension","",4.5218e+11,"Elvis","Andrus","andruel01","Venezuela",200,72,"R","R",2009-04-06,2011,"452180","452180 ",414000
"511","Emilio Bonifacio","Marlins",2012,3.066,"No",2200000,1950000,2075000,"2200000","Player",4.25e+11,"Emilio","Bonifacio","bonifem01","D.R.",210,70,"B","R",2007-09-02,2011,"425000","425000 ",414000
