Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,bbrefID,year,team
23,us US,B,R,"6' 1""",202,32783,1st,81,78,81,81,0,0,0,0,0,0,0,81,0,81,0,0,0,0.6,490000,,hicksaa01,2013,MIN
24,us US,B,R,"6' 1""",202,32783,2,69,59,69,65,0,0,0,0,0,0,6,57,5,68,2,0,7,0.2,507500,,hicksaa01,2014,MIN
26,us US,B,R,"6' 1""",202,32783,4,123,92,123,119,0,0,0,0,0,0,25,24,86,135,4,6,6,-0.3,574000,,hicksaa01,2016,NYY
27,us US,B,R,"6' 1""",202,32783,5,88,76,88,84,0,0,0,0,0,0,22,52,14,88,0,11,0,3.9,1350000,,hicksaa01,2017,NYY
28,us US,B,R,"6' 1""",202,32783,6,137,131,137,131,0,0,0,0,0,0,0,131,0,131,3,6,0,4.7,2825000,,hicksaa01,2018,NYY
30,us US,R,R,"5' 11""",200,30031,8,156,151,156,153,0,0,0,153,0,0,0,0,0,0,0,3,0,5.1,5500000,,hillaa01,2012,ARI
31,us US,R,R,"5' 11""",200,30031,9,87,82,87,84,0,0,0,84,0,0,0,0,0,0,0,5,0,1.1,5500000,,hillaa01,2013,ARI
32,us US,R,R,"5' 11""",200,30031,10,133,125,133,123,0,0,0,116,7,0,0,0,0,0,2,8,0,-1.2,11000000,,hillaa01,2014,ARI
33,us US,R,R,"5' 11""",200,30031,11,116,73,116,79,0,0,0,47,38,0,0,0,0,0,2,38,0,-0.3,12000000,,hillaa01,2015,ARI
34,us US,R,R,"5' 11""",200,30031,12,47,30,47,44,0,0,0,4,44,0,0,0,0,0,1,13,0,-0.3,12000000,,hillaa01,2016,BOS
35,us US,R,R,"5' 11""",200,30031,13,34,15,34,18,0,0,0,7,7,0,6,0,0,6,0,18,0,-0.9,2000000,,hillaa01,2017,SFG
25,us US,R,R,"6' 7""",282,33720,2,155,151,155,141,0,0,0,0,0,0,0,0,141,141,11,3,1,8.1,544500,All-Star,judgeaa01,2017,NYY
26,us US,R,R,"6' 7""",282,33720,3,112,108,112,91,0,0,0,0,0,0,0,1,90,91,19,3,0,5.5,622300,All-Star,judgeaa01,2018,NYY
25,us US,L,L,"5' 11""",210,32130,2,64,0,4,64,64,0,0,0,0,0,0,0,0,0,0,0,0,1.5,494200,,loupaa01,2013,TOR
26,us US,L,L,"5' 11""",210,32130,3,71,0,4,71,71,0,0,0,0,0,0,0,0,0,0,0,0,1.2,512400,,loupaa01,2014,TOR
27,us US,L,L,"5' 11""",210,32130,4,60,0,2,60,60,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,527500,,loupaa01,2015,TOR
28,us US,L,L,"5' 11""",210,32130,5,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1050000,,loupaa01,2016,TOR
29,us US,L,L,"5' 11""",210,32130,6,70,0,5,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1125000,,loupaa01,2017,TOR
30,us US,L,L,"5' 11""",210,32130,7,50,0,4,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1812500,,loupaa01,2018,TOR
23,us US,R,R,"6' 2""",195,34124,2,20,20,18,20,20,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,517500,,nolaaa01,2016,PHI
24,us US,R,R,"6' 2""",195,34124,3,27,27,25,27,27,0,0,0,0,0,0,0,0,0,0,0,0,4.2,544000,,nolaaa01,2017,PHI
25,us US,R,R,"6' 2""",195,34124,4,33,33,32,33,33,0,0,0,0,0,0,0,0,0,0,0,0,10,573000,All-Star,nolaaa01,2018,PHI
22,us US,R,R,"6' 4""",215,33786,2,41,11,2,41,41,0,0,0,0,0,0,0,0,0,0,0,0,1.9,1021600,,sanchaa01,2015,TOR
23,us US,R,R,"6' 4""",215,33786,3,30,30,3,30,30,0,0,0,0,0,0,0,0,0,0,0,0,5,517800,All-Star,sanchaa01,2016,TOR
24,us US,R,R,"6' 4""",215,33786,4,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,535000,,sanchaa01,2017,TOR
